Name,JName,Period(McGill),Period(atnf),Pdot(McGill),Pdot(atnf),B(McGill),B(atnf),Edot,Age
CXOU J010043.1-721134,J0100-7211,8.020392,8.020392,1.88E-11,1.88E-11,3.93E+14,3.93E+14,1.44E+33,6760
4U 0142+61,J1046+6145,8.68869249,8.688994,2.02E-12,1.99E-12,1.34E+14,1.33E+14,1.22E+32,68100
SGR 0418+5729,J0418+5732,9.07838822,9.078388,4.00E-15,4.10E-15,6.10E+12,6.17E+12,2.11E+29,36000000
SGR 0501+4516,J0501+4516,5.7620695,5.762097,5.94E-12,5.82E-12,1.87E+14,1.85E+14,1.23E+33,15400
SGR 0526-66,J0525-6607,8.0544,8.047,3.80E-11,6.50E-11,5.60E+14,7.32E+14,2.87E+33,3360
1E 1048.1-5937,J1048-5937,6.457875,6.452077,2.25E-11,3.81E-11,3.86E+14,5.02E+14,3.30E+33,4540
1E 1547.0-5408,J1550-5418,2.0721255,2.069833,4.77E-11,2.32E-11,3.18E+14,2.22E+14,2.11E+35,689
PSR J1622-4950,J1622-4950,4.3261,4.32702,1.70E-11,2.78E-12,2.74E+14,1.11E+14,8.29E+33,4030
SGR 1627-41,J1635-4735,2.594578,2.594578,1.90E-11,,2.25E+14,,4.29E+34,2160
CXOU J164710.2-455216,J1647-4552,10.610644,10.61066,4.00E-13,8.33E-13,6.59E+13,9.51E+13,1.32E+31,420000
1RXS J170849.0-400910,J1708−4009,11.00502461,11.00626,1.95E-11,1.96E-11,4.68E+14,4.70E+14,5.76E+32,8960
CXOU J171405.7-381031,J1714−3810,3.825352,3.824936,6.40E-11,5.88E-11,5.01E+14,4.80E+14,4.51E+34,947
SGR J1745-2900,J1745−2900,3.76363824,3.763733,1.39E-11,1.76E-11,2.31E+14,2.60E+14,1.03E+34,4310
SGR 1806-20,J1808−2024,7.54773,7.55592,4.95E-10,5.49E-10,1.96E+15,2.06E+15,4.55E+34,242
XTE J1810-197,J1809−1943,5.5403537,5.540743,7.77E-12,2.83E-12,2.10E+14,1.27E+14,1.80E+33,11300
Swift J1818.0-1607,,1.36349,8.437721,9.00E-11,2.14E-14,3.54E+14,1.36E+13,1.40E+36,240
Swift J1822.3-1606,J1822−1606,8.43772106,7.565408,2.10E-14,3.43E-12,1.36E+13,1.63E+14,1.40E+30,6260000
SGR 1833-0832,J1833−0831,7.5654084,2.482302,3.50E-12,7.96E-12,1.65E+14,1.42E+14,3.19E+32,34200
Swift J1834.9-0846,J1834−0845,2.4823018,11.78898,7.96E-12,4.09E-11,1.42E+14,7.03E+14,2.05E+34,4940
1E 1841-045,J1841−0456,11.788978,11.55871,4.09E-11,0.00E+00,7.03E+14,,9.86E+32,4570
3XMM J185246.6+003317,,11.55871346,5.198346,1.40E-13,9.20E-11,4.07E+13,7.00E+14,3.58E+30,1310000
SGR 1900+14,J1907+0919,5.19987,3.24498,9.20E-11,,7.00E+14,,2.58E+34,896
SGR 1935+2154,,3.245065,6.979071,1.43E-11,4.71E-13,2.18E+14,5.80E+13,1.65E+34,3600
1E 2259+586,J2301+5852,6.979042725,,4.84E-13,,5.88E+13,,5.62E+31,229000
SGR 0755-2933 #,,,,,,,,,
SGR 1801-23 #,,,,,,,,,
SGR 1808-20 #,,,,,,,,,
AX J1818.8-1559 #,,,,,,,,,
AX J1845.0-0258 #,J1845−0256,6.97127,,,,,,,
SGR 2013+34 #,,,,,,,,,
PSR J1846-0258 ##,,0.326571288,,7.11E-12,,4.88E+13,,8.06E+36,728
